Timestamp,Graduation Year,Concentration (or best guess),Prior CS background:,"Have you ever considered taking a computer science course? If not, why not? If you have considered it, why did you decide not to take it?","If not, why not?","If you have considered taking a CS class, why did you decide not to take it?",Do you have plans to take any CS courses in the future?,Are you interested in getting a:,"In your opinion, should some programming knowledge be a requirement for graduation? If not, why not? If so, why?",Are you interested in pursuing a job with a quantitative focus after graduation?,What three words describe a computer science concentrator?,What made you decide to take your first CS course?,"Were there previous semesters in which you thought about taking a CS course but did not? If so, what stopped you from taking it before?",What were your impressions of the CS DEPARTMENT before you took your first class? After?,What were your impressions of CS students before you took your first class? After?,What was the best part of taking your first CS class?,What was the worst part of taking your first CS class?,"Do you think you‰Ûªll take another CS class? If so, why? If not, why not?",What three words would you use to describe a computer scientist concentrator?,Are you a CS Concentrator?,What CS classes have you taken?,How many years have you been programming?,What age did you start?,"Compared to others in your CS classes, you find your classes:",How good are you at programming compared to others in the CS classes you've taken?,How often do you go to office hours on average for your CS classes?,,How often do you think the average CS student goes to office hours?,How accessible is help in your CS classes?,How often do you interact with your CS professors outside of class?,How often do you interact with your CS class course staff?,"For a CS class with lectures twice a week, you attend lectures on average:","For a CS class with lectures twice a week, the average student attends lectures:",How involved do you feel with the CS community at Harvard?,"Do you consider yourself a member of any tech student organizations on campus? If yes, specify which ones.",How easy is it to find partners to work with on psets or final projects?,Are there any specific classes in which finding partners has been hard?,How have you met people to work on class material with?,What will you most likely pursue after graduation?,"If you are a sophomore, junior, or senior, what did you do last summer?",How stressful is the process of finding a summer internship/ job?,What three words would you use to describe a computer science concentrator?,What gender do you identify with,"By your estimates, is there a gender gap in enrollment in CS classes?","If yes, what factors (related or unrelated to college) do you think cause this gap?","If yes, what is the impact of this gender gap on your experience of CS at Harvard? ","Do you have a role model and/or mentor in CS? If so, who? ",I like CS because I am interested in the CS problems I get to think about and solve.,"Do you feel you have a mentor in CS? If so, who?","Who would you ask for CS help, if anyone?",I like CS because it gives me a tool to make a difference in other areas I care about.,I like CS primarily for some other reason:,How good are you at CS theory compared to others in the CS classes you've taken?,Secondary (if applicable),What subfield in tech industry would you be interested in working in?,What subfield in tech industry would you be interested in working in?,What will you most likely pursue after graduation?,What type of graduate school are you interested in?,What is your estimated concentration GPA?,What race(s) do you identify with?,How accessible are professors in your CS classes?,How accessible are teaching fellows in your CS classes?,Do you feel like you need more support in CS from:,,"Do you have a role model and/or mentor in CS? If so, who? ",Do you feel like you get the support you need for CS in terms of:,What subfield in tech industry would you be interested in working in?,,Are you a CS concentrator or intending to be a CS concentrator? ,Any comments on the accessibility of help?,How often do you interact with your professors?.
10/18/2015 15:41:06,2017,CS,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,,,,,,,"50, 51, 121, 20, 124",5,,,2,Roughly every week,,At least once a week,,,At least once a week,,,4,WiCS,3,CS 124,Luckily I found one early on and we've taken the same classes,,Software dev intern at a top 3 tech company,5,"cliquey, brilliant, condescending",Female,4,The students aren't collaborative enough. The material is challenging so people pair off into cliques and arent welcoming of other partners. ,"As a female, if you see a bunch of male groups, it feels harder to join them and feel like youre contributing, even if you are. ",Nope,2,,,3,,3,Spanish,"Web or mobile development (frontend), Web or mobile development (backend), Product Management, Business development / growth hacking",,"Tech Industry (includes all roles - software, PM, etc.)",,3,Asian,2,5,"Peers, Mentors, Professors",,,,,,,,
10/18/2015 15:42:03,2016,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,,,,,,,"CS 50, CS 51, CS 20, CS 121, CS 124, CS 186, CS 61, CS 175, CS 181",4,,,2,Never,,At least once a week,,,3-8 times a semester,,,3,Women in CS,3,CS 61,Yes,,Software Engineering Intern in Bay Area,5,,Female,3,"From a young age, societal pressure to be cool/pretty/popular pushes girls away from exploring stereotypically geeky things like math and CS. So then as girls grow up, there's more and more of a gap between their exposure to CS and their male peers' exposure to CS. By the time they get to college there's a huge gap.","As a female CS concentrator, I haven't felt super affected by the gender gap within Harvard. People are generally very supportive, more so than the general population.
Still, I do occasionally get the feeling that some guys don't take me as seriously. I also hate how sometimes people feel the need to boast about how easy a class is for them or how much past experience they have, which is intimidating for people like me who pretty much strugglebus it through all my classes :P
It also sucks that there aren't many female professors to look up to. ",No,5,,,5,,1,,"Web or mobile development (frontend), Graphics / Design, Image processing / VR",,"Tech Industry (includes all roles - software, PM, etc.)",,,Asian,3,4,"Peers, Mentors, Teaching Staff",,,,,,,,
10/18/2015 15:51:15,2018,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,,,,,,,"CS 50, CS 121",5,,,3,3-8 times a semester,,3-8 times a semester,,,3-8 times a semester,,,2,none,4,CS 50,Through other social clubs,,Web development for a startup,5,"passionate, hardworking, tenacious",Female,4,"socialization factors - e.g. boys play with legos, girls play with barbies - that lead to differences in skillsets from young ages.
From a NYTimes article: ""At a young age, girls already hold stereotypes of computer scientists as socially isolated young men whose genius is the result of genetics rather than hard work. Given that many girls are indoctrinated to believe that they should be feminine and modest about their abilities, as well as brought up to assume that girls are not innately gifted at science or math, it is not surprising that so few can see themselves as successful computer scientists.""","I feel unconfident about my abilities compared to others, even though that I objectively know I'm good at problem solving.",none,5,,,5,,3,Economics,,,Consulting,,3.76,Asian,1,4,"Mentors, Professors, Teaching Staff",,,,,,,,
10/18/2015 16:19:21,2017,Computer Science/Statistics,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,,,,,,,"50, 51, 61, 121, 124, 175, 181",4,,,3,1-2 times a semester,,1-2 times a semester,,,1-2 times a semester,,,3,None,4,No,Office Hours,,"Study Abroad in Kyoto, Japan",4,"Internships, programming, cliche",Male,4,"Perception that men have been the ""coders"" of the workforce.","Not much. I see a lot of females who are in CS, and I find that to be great.",None,3,,,3,,2,,,,Uncertain,,3.6,Asian,3,3,None of the above,,,,,,,,
10/18/2015 16:23:20,2015,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,,,,,,,"CS50, CS51, CS61, CS121, CS124, CS144r, CS152, CS181, CS205",4,,,2,Roughly every week,,3-8 times a semester,,,At least once a week,,,4,"WiCS, formerly D4D",3,Not especially,Office Hours,,Infrastructure Quality Engineering Intern at Palantir,2,"""computer science concentrator""",Female,3,"Girls think they're bad at math, they may have less exposure to CS beforehand",Fewer women makes it easier to make friends and form a community with the other women in my classes,"Not really, maybe Ore Babarinsa",4,,,4,,3,,"Quality engineering, non-web backend",,"Tech Industry (includes all roles - software, PM, etc.)",,3.8,Caucasian,4,5,Mentors,,,,,,,,
10/18/2015 16:25:19,2017,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,,,,,,,"20,50,51,61,109,121,124,263,281",3,,,3,Roughly every week,,At least once a week,,,At least once a week,,,3,n/a,4,51,"Through Class itself, on piazza",,SEI at large company,5,"Analytical, Well-Equipped, ",Male,4,The stigma that CS is a male-dominated field. Possibly just lack of interest in CS from women?,"Hard to tell for me honestly, I would imagine it reduces diversity of thought but I can't really measure that metric without knowing what i am missing out on.",no,5,,,3,,3,,"Web or mobile development (backend), Artificial Intelligence, Hardware / Embedded Systems, Security Engineering, Systems engineering",,"Tech Industry (includes all roles - software, PM, etc.)",,3.5,Hispanic or Latino,4,3,Mentors,,,,,,,,
10/18/2015 16:45:02,2017,CS/Chem,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,,,,,,,"50, 51, 61, 124, 175, 
taking 121 right now
intend to take 181",3,,,4,1-2 times a semester,,3-8 times a semester,,,3-8 times a semester,,,2,No,4,"No, all my friends are CS majors",Office Hours,,Worked at Goldman ,4,"mathematically inclined, nerdy, solitary",Female,3,Girls are in general closer to the average than guys. It's a much better strategy to be solidly above average than to try to gamble to be exceptional for a female. ,"Being the only girl in a group is great. It would suck to be a guy. The gender gap is decreasing rapidly, but for the moment, being a female in a male dominated field will imbue certain advantages. ","Boyfriend, works at HubSpot",4,,,4,,4,--,,,Uncertain,,probably like a 3.9,Asian,1,4,None of the above,,,,,,,,
10/18/2015 17:03:03,2018,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,,,,,,,"CS50, CS51, CS121",3,,,3,Roughly every week,,3-8 times a semester,,,At least once a week,,,5,"WiCS, DLP",5,No,Yes,,IOP Internship-- taught CS to middle school girls,4,,Female,4,Lack of support/feeling of discouragement,"I have found a strong community with women in CS, but it is often very noticeable that men take the lead on projects/dominate classes.","JN Fang, Amanda Boss",5,,,5,,3,Government,"Product Management, Artificial Intelligence, Security Engineering",,"Tech Industry (includes all roles - software, PM, etc.)",,3.4,Asian,3,5,"Peers, Mentors",,,,,,,,
10/18/2015 19:17:06,2018,CS,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,,,,,,,CS50,1,,,2,Roughly every week,,3-8 times a semester,,,At least once a week,,,5,"HCS, WiCS",5,classes that I go into without knowing people already,just friends I already knew,,cardiology internship,5,"logical, easygoing, intelligent",Female,4,stereotype than women are bad at math. Lack of support for women in CS classes. ,Trouble finding peer support,Anson Kahng,5,,,5,,2,Stats,Graphics / Design,,"Tech Industry (includes all roles - software, PM, etc.)",,N/A,Asian,5,5,"Peers, Mentors",,,,,,,,
10/18/2015 19:27:36,2017,CS,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,,,,,,,"CS50, CS51, CS61, CS171, CS 121",6,,,3,Roughly every week,,At least once a week,,,At least once a week,,,3,No,5,Nah,socializing,,Google Engineering Practicum,4,No Free Time,Female,3,More female professors and TAs. Less of a workload. ,At Harvard I feel there is a strong community of women programmers. I do feel like I am dumber than my male classmates occasionally.  ,NA,5,,,5,,3,VES,,,Front end for Journalism ,,3.8,"Asian, Caucasian",2,5,Professors,,,,,,,,
10/18/2015 19:35:38,2018,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,,,,,,,Currently taking CS50,4,,,3,Never,,3-8 times a semester,,,Never,,,3,No,3,None,Have never met with people to work on class material for any class,,"Studied abroad in Kyoto, Japan for history and modern society",5,"Dedicated, unfashionable, intelligent",Male,5,Just the nature of the field and the people it attracts.,None especially.,None,5,,,3,,3,,"Web or mobile development (frontend), Web or mobile development (backend), Product Management, Artificial Intelligence, Hardware / Embedded Systems, Graphics / Design, Image processing / VR, Gaming",,"Tech Industry (includes all roles - software, PM, etc.)",,N/A,Asian,4,5,"Professors, Teaching Staff",,,,,,,,
10/18/2015 20:07:21,2017,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,,,,,,,"20, 61, 50, 51, 124",2.5,,,4,3-8 times a semester,,At least once a week,,,At least once a week,,,4,WiCS,2,61,Office hours,,Software engineering intern at Groupon,4,,Female,3,Negative treatment by male peers,Doesn't impact me much,Harry Lewis,5,,,4,,3,,"Web or mobile development (backend), Hardware / Embedded Systems, Security Engineering, Systems engineering",,"Tech Industry (includes all roles - software, PM, etc.)",,3.2,"Caucasian, Hispanic or Latino",4,5,Peers,,,,,,,,
10/19/2015 0:58:18,2017,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,,,,,,,"CS50, CS51, CS121, CS109, CS181, CS61, CS134",3,,,4,Roughly every week,,3-8 times a semester,,,At least once a week,,,2,Digital Literacy Project,5,No,Yes,,Study Abroad in Venice,4,"Stressed, Overworked, Tired",Male,4,Societal,Men tend to be more competitive,No,3,,,4,,3,Statistics,"Web or mobile development (frontend), Web or mobile development (backend), Product Management, Business development / growth hacking, Artificial Intelligence, Machine Learning/Data Analysis",,"Tech Industry (includes all roles - software, PM, etc.)",,4,Asian,2,5,"Peers, Mentors, Professors",,,,,,,,
10/19/2015 1:20:28,2016,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,,,,,,,"CS50, CS51, CS61, CS179, CS153, CS124, CS262, CS121, CS283, CS181, CS109, CS134",4,,,4,3-8 times a semester,,3-8 times a semester,,,3-8 times a semester,,,3,Nope,1,"CS179, CS153",Friends,,Software Engineer Intern,3,"Problem-solver, Practical, Debugger",Male,4,Females aren't as inherently interested in CS compared to males.,"Not as much women in classes, though it is growing steadily.",No,3,,,5,,4,Statistics,"Web or mobile development (frontend), Web or mobile development (backend), Product Management",,"Tech Industry (includes all roles - software, PM, etc.)",,3.9,Asian,4,4,"Peers, Mentors",,,,,,,,
10/19/2015 11:05:00,2016,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,,,,,,,"CS50, CS51, CS20, CS121, CS124, CS171, CS175, CS143, CS179, CS182, CS109",~4-5,,,3,3-8 times a semester,,1-2 times a semester,,,3-8 times a semester,,,3,no,2,most classes,Piazza posts,,software intern,5,,Female,4,"societal pressures, external and from the CS community, generally not purposeful but still existent","I still talk to other girls in CS but it's weird and still a lot of guys in general, I'm not sure if I've had a CS class with a female instructor except for a few TFs if the class had more than, say, 5 TFs",no,4,,,3,,2,,"Web or mobile development (frontend), Product Management, Artificial Intelligence, Graphics / Design, Uncertain",,"Tech Industry (includes all roles - software, PM, etc.)",,,Asian,3,3,"Peers, Mentors",,,,,,,,
10/19/2015 12:06:44,2019,CS,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,,,,,,,CS50,1,,,3,3-8 times a semester,,At least once a week,,,At least once a week,,,2,No,3,No,Yes,,N/a,4,"Logical, busy, fun ",Female,3,N/a,No impact ,Truong Nam ,4,,,3,,3,WGS,"Web or mobile development (backend), Business development / growth hacking, Artificial Intelligence, Security Engineering",,"Tech Industry (includes all roles - software, PM, etc.)",,3.5,Asian,2,4,"Mentors, Professors, Teaching Staff",,,,,,,,
10/19/2015 12:48:46,2019,CS,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,,,,,,,CS50,0,,,2,Roughly every week,,At least once a week,,,At least once a week,,,1,no,2,no,yes,,n/a,5,,Female,1,I don't think there is a gap,I don't think there is a gap,no,2,,,2,,3,,,,"Graduate School (includes all types - business school, grad school, med school, etc.)",Medical,,Caucasian,1,2,"Professors, Teaching Staff",,,,,,,,
10/19/2015 13:09:16,2017,Neurobiology,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,,,,,,,Currently taking CS50 and CS121,0,,,3,Roughly every week,,At least once a week,,,At least once a week,,,2,no,5,no,yes,,Neurobiology research,5,"smart, innovative, interested ",Female,4,"I think before college, boys tend to be encouraged to get involved in CS more so than girls are, and I think once people get to college, they tend to avoid CS unless they were already somewhat familiar with it.",I guess I just tend to work with males more often than females on psets and projects since there just happen to be more of them.,no,5,,,5,,4,Statistics,,,"Graduate School (includes all types - business school, grad school, med school, etc.)",PhD in the sciences,3.5,"Asian, Caucasian",2,5,Professors,,,,,,,,
03/11/16 21:11,2019,Math,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,,,,,,,1. CS50,0,,,3,Never,,1-2 times a semester,,,1-2 times a semester,,,3,HCS,4,N/A,N/A,,N/A,4,,Male,3,Gender thinks differently.,Less diversity,No,3,,,3,,3,Poly Sci,,,"Graduate School (includes all types - business school, grad school, med school, etc.)",Not sure,N/A,Asian,1,5,"Peers, Mentors, Professors, Teaching Staff",,,,,,,,
10/20/2015 1:11:46,2019,CS,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,,,,,,,CS50 (currently taking),3,,,5,Never,,At least once a week,,,1-2 times a semester,,,3,"HCS, HackHarvard",4,No,Rarely,,N/A,5,"analytical, problem-solver, creative",Male,3,Societal emphasis on the sciences growing up is directed towards men generally I feel. Aren't as many role models in STEM for women as well.,"Doesn't really affect my education much, so I don't feel like it affects my experience too much.","Yes, mentor as part of HCS. Fred Widjaja.",3,,,5,,4,Economics,"Web or mobile development (frontend), Product Management, Artificial Intelligence",,"Tech Industry (includes all roles - software, PM, etc.)",,N/A,Caucasian,4,5,None of the above,,,,,,,,
10/20/2015 1:12:44,2018,computer Science,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,,,,,,,"CS50
CS51
CS175
CS121",1,,,3,3-8 times a semester,,At least once a week,,,3-8 times a semester,,,2,No,2,CS121,People sitting next to me or those I already knew from before,,Toured Brazil and sang with my choir,4,"Driven, dedicated, patient",Female,3,Just the proclivity males have to study STEM related fields,Haven't really experienced impact of it,Not really,5,,,4,,3,,"Artificial Intelligence, Graphics / Design, Image processing / VR, Uncertain",,"Tech Industry (includes all roles - software, PM, etc.)",,3.3,Caucasian,2,4,"Peers, Mentors, Professors",,,,,,,,
10/20/2015 1:15:39,2019,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,,,,,,,CS50,3,,,4,1-2 times a semester,,At least once a week,,,At least once a week,,,3,HCS,4,N/A,Friends,,N/A,3,,Male,4,A high pressure on girls at a young age away from STEM and into the humanities or arts.,"It had made it less enjoyable and less instructive, as diversity breeds the best results out of its members.",N/A,5,,,4,,4,Psychology,,,"Graduate School (includes all types - business school, grad school, med school, etc.)",Education,3.75,Caucasian,3,5,"Peers, Professors",,,,,,,,
10/20/2015 1:50:58,2019,CS,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,,,,,,,CS50,<1,,,3,3-8 times a semester,,At least once a week,,,At least once a week,,,3,No,3,No,Yes,,N/A,3,"Intelligent, Hardworking, Inventive",Male,1,No gap,No gap,No,4,,,5,,4,Possibly english,,,Startup,,N/A,South African,3,4,Professors,,,,,,,,
10/20/2015 1:52:07,2019,Computer Science/Economics,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,,,,,,,"AP Computer Science, Data Structures and Algorithms, CS 50(this year)",3,,,3,1-2 times a semester,,3-8 times a semester,,,At least once a week,,,4,yes(data ventures),4,No,Texting,,I'm a freshman,3,"Smart, Problem-Solver, Creative",Male,4,"I think it's a vicious cycle where females in computer science have very few role models, causing less of them to go into computer science, which relates to there being fewer role models for new females in computer science.",Less opportunities for socialization than I would like.,Not yet!,5,,,5,,4,,"Web or mobile development (frontend), Web or mobile development (backend), Product Management, Artificial Intelligence, Graphics / Design",,"Tech Industry (includes all roles - software, PM, etc.)",,,Asian,3,3,"Peers, Professors",,,,,,,,
10/20/2015 1:56:55,2019,AM,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,,,,,,,CS50 (taking it atm),2,,,4,3-8 times a semester,,At least once a week,,,At least once a week,,,3,no,4,no,FIP,,freshmen,2,,Male,2,its very small ,no impact,upperclassmen,5,,,5,,4,CS,,,Finance,,,Caucasian,3,5,Professors,,,,,,,,
10/20/2015 1:58:31,2017,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,,,,,,,"Cs50, cs51, cs171, cs152, cs20, cs121",3,,,3,Roughly every week,,3-8 times a semester,,,At least once a week,,,3,Wics,4,No,Office hours,,Teaching in Japan,5,,Female,3,I think the stereotype that tech is a field for males can affect a lot of women's decision to sudy this field.,No impact,No,2,,,3,,2,,"Web or mobile development (frontend), Web or mobile development (backend), Product Management, Security Engineering",,"Tech Industry (includes all roles - software, PM, etc.)",,,Asian,3,4,"Peers, Mentors, Professors, Teaching Staff",,,,,,,,
10/20/2015 3:00:20,2019,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,,,,,,,"-AP Computer Science
-A computer science independent study in high school that allowed me to gain a better understanding of complex data types (like trees, hash tables, and linked list)
-CS 50 (I'm taking it now)",6,,,4,3-8 times a semester,,At least once a week,,,Never,,,2,HSA - I'm the incoming IT director,5,Not yet,I haven't had a need yet,,I'm a freshman.,1,"Industrious, logical, devoted",Male,1,CS50 is divided pretty evenly,N/A,"TheNewBoston, the guy who taught me programming from his youtube videos back when I was a 7th grader.",5,,,5,,4,"Mind, Brain, Behavior Initiative",,,entrepreneurship,,N/A - This is my first Harvard CS class,Caucasian,1,5,Professors,,,,,,,,
10/20/2015 8:29:03,2017,CS,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,,,,,,,"61, 161, 121, 124, 229, 181, 283",7,,,5,1-2 times a semester,,3-8 times a semester,,,3-8 times a semester,,,2,No,3,No,No,,Research,3,"Smart, lazy, creative",Male,4,"Social pressures around middle and high school, especially regarding course selection and what things you're ""allowed"" to enjoy","There are fewer girls, which is sad. ",Prof,5,,,4,,4,Math,"Artificial Intelligence, Hardware / Embedded Systems",,"Tech Industry (includes all roles - software, PM, etc.)",,3.9,"Caucasian, Hispanic or Latino",5,4,Teaching Staff,,,,,,,,
10/20/2015 9:30:24,2019,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,,,,,,,"CS50, currently enrolled!",2,,,3,Never,,At least once a week,,,Never,,,1,None,3,CS50,Office hours,,N/a,4,,Female,3,Lack of encouragement,Classrooms can sometimes feel uninviting.,Michelle Deng,4,,,4,,2,,,,Uncertain,,,Asian,1,4,"Peers, Professors, Teaching Staff",,,,,,,,
10/20/2015 10:48:14,2017,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,,,,,,,"CS50
CS51
CS20
CS61
CS121",2,,,3,1-2 times a semester,,3-8 times a semester,,,1-2 times a semester,,,2,No,2,CS51,Yes,,Software Developer Intern and Tapinator Inc.,5,"Nerdy, Motivated, Sad",Male,3,"Past traditions of ""women should not"" be in tech is still lingering.",Your friends are all guys in class haha,No,5,,,5,,3,,"Web or mobile development (frontend), Web or mobile development (backend), Product Management, Business development / growth hacking, Artificial Intelligence",,"Tech Industry (includes all roles - software, PM, etc.)",,3.2,Asian,4,5,"Peers, Professors, Teaching Staff",,,,,,,,
10/20/2015 11:11:03,2019,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,,,,,,,"In high school I took AP Computer Science, Honors Advanced Topics in Computer Science, Software Engineering: Mobile Devices/App Development, and at Harvard I am currently taking CS50",3,,,4,1-2 times a semester,,3-8 times a semester,,,3-8 times a semester,,,4,No,5,Not yet,Just walk into Lamont late at night and people are there,,NA,3,"Versatile, Adaptable, Analytical",Male,2,"CS is still seen as a ""nerdy"" field in a lot of places and I think that mentality carries over with undergraduates and makes males more likely to enroll  in CS courses than females. That being said, Harvard is really pushing CS50 so I'm constantly surprised by the diversity of people who are taking the class, and thus I don't really notice a gap.",Not much at all,No,5,,,2,,3,NA,"Web or mobile development (frontend), Web or mobile development (backend), Product Management, Artificial Intelligence, Security Engineering, Systems engineering",,"Tech Industry (includes all roles - software, PM, etc.)",,NA,"Black or African American, Caucasian",3,4,None of the above,,,,,,,,
10/20/2015 12:57:00,2016,Math & Computer Science,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,,,,,,,"CS 51, 61, 109, 121, 124, 141, 165, 181, 225, 281",3,,,3,1-2 times a semester,,1-2 times a semester,,,1-2 times a semester,,,2,Crimson Tech,2,Grad classes,Yes,,Software Engineering Intern at APT,4,,Male,4,"Lack of a community/support
CS can be intimidating, and perhaps women are more likely to doubt their skills (even if unwarranted)",Spend a lot of time with guys,No,5,,,5,,3,Statistics,"Web or mobile development (backend), Artificial Intelligence, Security Engineering",,"Tech Industry (includes all roles - software, PM, etc.)",,3.8,Asian,4,4,"Mentors, Professors",,,,,,,,
10/20/2015 13:05:02,2019,CS,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,,,,,,,CS50,2,,,3,3-8 times a semester,,At least once a week,,,3-8 times a semester,,,1,No,2,No,Roommates ,,N/A,5,Technologically Inclined Individual,Male,3,Girls don't see CS as a field for them. ,With less attractive girls in CS there is less of a distraction for men. ,No,4,,,4,,3,Astrophysics ,"Web or mobile development (frontend), Web or mobile development (backend), Product Management, Business development / growth hacking, Artificial Intelligence, Hardware / Embedded Systems, Uncertain",,"Tech Industry (includes all roles - software, PM, etc.)",,N/A,Caucasian,3,4,"Mentors, Professors",,,,,,,,
10/20/2015 13:42:29,2019,computer science,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,,,,,,,CS50,5,,,5,Never,,3-8 times a semester,,,Never,,,3,HURC,3,no,outside  acquaintances,,freshman,3,"pragmatic, practical, focused",Male,3,Women are intimidated by a field with so many men.,none,no,5,,,4,,4,,,,"Graduate School (includes all types - business school, grad school, med school, etc.)",none,,"Asian, Caucasian",2,4,None of the above,,,,,,,,
10/20/2015 14:39:42,2018,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,,,,,,,Currently taking CS50 and CS61,0,,,3,Never,,3-8 times a semester,,,1-2 times a semester,,,3,HCS,4,No,In class,,Studied at home,4,,Male,1,N/A,N/A,No,5,,,5,,3,,Web or mobile development (backend),,"Tech Industry (includes all roles - software, PM, etc.)",,,Hispanic or Latino,5,5,None of the above,,,,,,,,
10/20/2015 15:21:36,2017,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,,,,,,,"CS50, CS51, CS171, CS182, CS121",3,,,5,3-8 times a semester,,At least once a week,,,1-2 times a semester,,,5,"yes, iLab startup",5,no,yes,,"Harvard Study Abroad, Paris",5,,Male,4,the lack of confidence that professors placeo n women in CS,None,no,5,,,5,,2,,"Web or mobile development (frontend), Product Management, Artificial Intelligence",,"Tech Industry (includes all roles - software, PM, etc.)",,3.3,"Caucasian, Hispanic or Latino",3,5,"Peers, Mentors, Professors, Teaching Staff",,,,,,,,
10/20/2015 15:48:43,2016,Computer Science + Mathematics,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,,,,,,,"CS 51, 61, 121, 127, 152, 175, 182, 221, 223, 225, 252
",10,,,4,Never,,1-2 times a semester,,,Never,,,3,No,4,CS 175,From other classes,,Research in Cryptography,4,,Male,4,"I take mainly theory courses. A lot of my female peers have expressed less interest in theory and in taking math courses in general. I have found that my female peers have been more or less equal in coding aspects, but have had weaker math backgrounds which has led to less enrollment in graduate theory courses.",It is frustrating to feel like women are not interested in computer science. A lot of my female friends have some preconceived notion that computer science is not for them and view it as acceptable to not be able to do math or code. A lot of them don't even try to learn how to code and then it is frustrating that I cannot talk about what I am doing with any female friends because they didn't take the time to learn any CS theory.,MIT professor,5,,,1,,5,,,,"Graduate School (includes all types - business school, grad school, med school, etc.)",Computer Science,4,"Asian, Caucasian",5,3,None of the above,,,,,,,,
10/20/2015 16:27:51,2018,Computer Science and Statistics,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,,,,,,,"cs50, cs51, cs109",4,,,4,Never,,3-8 times a semester,,,1-2 times a semester,,,3,no,4,cs109,yes,,worked at ABI,3,,Male,3,"this is probably the subject of research for many people who study Education, so I don't think I can give a plausible answer in 3 lines",I don't know,no,4,,,4,,4,,,,Finance,,,"Caucasian, Hispanic or Latino",4,4,Mentors,,,,,,,,
10/20/2015 22:33:22,2018,computer science,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,,,,,,,"61, 51, 121, 124, 153, 263",5,,,5,3-8 times a semester,,1-2 times a semester,,,1-2 times a semester,,,3,no,3,"CS61, but only because it was freshman fall and I wasn't trying very hard",Through mutual friends and other student groups,,Systems research at PRISE,2,"passionate, smart, busy",Male,3,Societal pressures starting at a very young age. I think that the toys we play with and shows we watch as young kids reinforce STEM skills and thinking disproportionately in boys.,"No profound impact except that it bothers me when I observe it and perhaps makes the culture a bit more macho, which is unfortunate.","Most of my cs professors, but no one specific",5,,,2,,5,,"Artificial Intelligence, Systems engineering, Languages and compiler research",,"Tech Industry (includes all roles - software, PM, etc.)",,3.6,Caucasian,4,2,None of the above,,,,,,,,
